n        , q      , name         , space     , sum                 , time
     1000, 2000000, Block16      ,       2712,  3524300007802512096,  21.8825
     1000, 2000000, Block32      ,       1224,  3524300007802512096,  25.0503
     1000, 2000000, Block64      ,        552,  3524300007802512096,  26.9854
     1000, 2000000, Block128     ,        264,  3524300007802512096,  30.4206
     1000, 2000000, log2Block1.00,       5520,  3524300007802512096,  18.7891
     1000, 2000000, log2Block2.00,       2272,  3524300007802512096,  25.7755
     1000, 2000000, log2Block3.00,       1408,  3524300007802512096,  28.0385
     1000, 2000000, log2Block4.00,        992,  3524300007802512096,  29.068
     1000, 2000000, log2Block5.00,        792,  3524300007802512096,  29.29
     3000, 2000000, Block16      ,      10248,  3473292130693859172,  20.5708
     3000, 2000000, Block32      ,       4472,  3473292130693859172,  23.6592
     3000, 2000000, Block64      ,       1944,  3473292130693859172,  26.2134
     3000, 2000000, Block128     ,        872,  3473292130693859172,  30.0621
     3000, 2000000, log2Block1.00,      15896,  3473292130693859172,  21.3091
     3000, 2000000, log2Block2.00,       6640,  3473292130693859172,  26.7739
     3000, 2000000, log2Block3.00,       4232,  3473292130693859172,  27.9673
     3000, 2000000, log2Block4.00,       2944,  3473292130693859172,  29.1161
     3000, 2000000, log2Block5.00,       2272,  3473292130693859172,  29.6958
    10000, 2000000, Block16      ,      42136,  9795406910735499287,  21.0141
    10000, 2000000, Block32      ,      18736,  9795406910735499287,  24.2553
    10000, 2000000, Block64      ,       8264,  9795406910735499287,  26.4345
    10000, 2000000, Block128     ,       3632,  9795406910735499287,  30.2589
    10000, 2000000, log2Block1.00,      53776,  9795406910735499287,  23.3567
    10000, 2000000, log2Block2.00,      23960,  9795406910735499287,  26.9795
    10000, 2000000, log2Block3.00,      14744,  9795406910735499287,  28.6145
    10000, 2000000, log2Block4.00,      10352,  9795406910735499287,  29.5608
    10000, 2000000, log2Block5.00,       7984,  9795406910735499287,  30.1978
    30000, 2000000, Block16      ,     148976,  4096355578198265274,  26.1302
    30000, 2000000, Block32      ,      67176,  4096355578198265274,  23.6185
    30000, 2000000, Block64      ,      29968,  4096355578198265274,  26.3281
    30000, 2000000, Block128     ,      13256,  4096355578198265274,  30.3386
    30000, 2000000, log2Block1.00,     173392,  4096355578198265274,  24.1603
    30000, 2000000, log2Block2.00,      75096,  4096355578198265274,  27.5575
    30000, 2000000, log2Block3.00,      46736,  4096355578198265274,  29.0585
    30000, 2000000, log2Block4.00,      32888,  4096355578198265274,  29.9615
    30000, 2000000, log2Block5.00,      25472,  4096355578198265274,  30.8454
   100000, 2000000, Block16      ,     584888,  3910876060060512924,  25.8953
   100000, 2000000, Block32      ,     267624,  3910876060060512924,  23.7192
   100000, 2000000, Block64      ,     121520,  3910876060060512924,  26.2171
   100000, 2000000, Block128     ,      54696,  3910876060060512924,  30.4719
   100000, 2000000, log2Block1.00,     584928,  3910876060060512924,  24.6825
   100000, 2000000, log2Block2.00,     258640,  3910876060060512924,  28.0064
   100000, 2000000, log2Block3.00,     163624,  3910876060060512924,  29.4929
   100000, 2000000, log2Block4.00,     117424,  3910876060060512924,  30.6271
   100000, 2000000, log2Block5.00,      90056,  3910876060060512924,  31.7841
   300000, 2000000, Block16      ,    1988344,  8906471472297959144,  21.9454
   300000, 2000000, Block32      ,     919384,  8906471472297959144,  23.7817
   300000, 2000000, Block64      ,     422440,  8906471472297959144,  26.3326
   300000, 2000000, Block128     ,     192648,  8906471472297959144,  30.5974
   300000, 2000000, log2Block1.00,    1738424,  8906471472297959144,  25.6281
   300000, 2000000, log2Block2.00,     802832,  8906471472297959144,  28.626
   300000, 2000000, log2Block3.00,     512752,  8906471472297959144,  30.0732
   300000, 2000000, log2Block4.00,     368296,  8906471472297959144,  31.1455
   300000, 2000000, log2Block5.00,     287728,  8906471472297959144,  32.2824
  1000000, 2000000, Block16      ,    7476232,  1405546064756651026,  22.7529
  1000000, 2000000, Block32      ,    3488344,  1405546064756651026,  23.9148
  1000000, 2000000, Block64      ,    1619384,  1405546064756651026,  26.6236
  1000000, 2000000, Block128     ,     747440,  1405546064756651026,  31.427
  1000000, 2000000, log2Block1.00,    6213168,  1405546064756651026,  26.2058
  1000000, 2000000, log2Block2.00,    2815424,  1405546064756651026,  29.1483
  1000000, 2000000, log2Block3.00,    1772384,  1405546064756651026,  30.6521
  1000000, 2000000, log2Block4.00,    1287232,  1405546064756651026,  32.1205
  1000000, 2000000, log2Block5.00,    1000848,  1405546064756651026,  33.3133
  3000000, 2000000, Block16      ,   24903432,  6794346839689324242,  32.8417
  3000000, 2000000, Block32      ,   11701976,  6794346839689324242,  36.3036
  3000000, 2000000, Block64      ,    5476232,  6794346839689324242,  44.1879
  3000000, 2000000, Block128     ,    2550904,  6794346839689324242,  63.1127
  3000000, 2000000, log2Block1.00,   18475024,  6794346839689324242,  34.8446
  3000000, 2000000, log2Block2.00,    8440464,  6794346839689324242,  40.7331
  3000000, 2000000, log2Block3.00,    5476272,  6794346839689324242,  46.092
  3000000, 2000000, log2Block4.00,    3941424,  6794346839689324242,  54.4146
  3000000, 2000000, log2Block5.00,    3102944,  6794346839689324242,  59.5046
 10000000, 2000000, Block16      ,   91612040, 17603544852597047102,  44.8787
 10000000, 2000000, Block32      ,   43306312, 17603544852597047102,  60.3222
 10000000, 2000000, Block64      ,   20403432, 17603544852597047102,  88.9747
 10000000, 2000000, Block128     ,    9576976, 17603544852597047102, 144.221
 10000000, 2000000, log2Block1.00,   61893368, 17603544852597047102,  52.5503
 10000000, 2000000, log2Block2.00,   29207920, 17603544852597047102,  74.0281
 10000000, 2000000, log2Block3.00,   18773104, 17603544852597047102,  94.6491
 10000000, 2000000, log2Block4.00,   13575688, 17603544852597047102, 117.554
 10000000, 2000000, log2Block5.00,   10676168, 17603544852597047102, 139.104
 30000000, 2000000, Block16      ,  298223464, 18197174447496762459,  55.2395
 30000000, 2000000, Block32      ,  141612040, 18197174447496762459,  71.4929
 30000000, 2000000, Block64      ,   67056312, 18197174447496762459, 108.587
 30000000, 2000000, Block128     ,   31653432, 18197174447496762459, 176.95
 30000000, 2000000, log2Block1.00,  193223504, 18197174447496762459,  59.3017
 30000000, 2000000, log2Block2.00,   89571280, 18197174447496762459,  91.3356
 30000000, 2000000, log2Block3.00,   57428064, 18197174447496762459, 119.829
 30000000, 2000000, log2Block4.00,   41867064, 18197174447496762459, 147.965
 30000000, 2000000, log2Block5.00,   32742256, 18197174447496762459, 175.96
100000000, 2000000, Block16      , 1082891880,  4643062975421166107, 179.416
100000000, 2000000, Block32      ,  516446280,  4643062975421166107,  74.8762
100000000, 2000000, Block64      ,  245723464,  4643062975421166107, 115.867
100000000, 2000000, Block128     ,  116612040,  4643062975421166107, 191.573
100000000, 2000000, log2Block1.00,  643369424,  4643062975421166107, 127.448
100000000, 2000000, log2Block2.00,  300204728,  4643062975421166107, 105.825
100000000, 2000000, log2Block3.00,  195881768,  4643062975421166107, 135.906
100000000, 2000000, log2Block4.00,  142555600,  4643062975421166107, 166.812
100000000, 2000000, log2Block5.00,  112824240,  4643062975421166107, 192.684
300000000, 2000000, Block16      , 3481565352, 12228688109544953856,   3.93908
300000000, 2000000, Block32      , 1665783048, 12228688109544953856,   3.90323
300000000, 2000000, Block64      ,  795391880, 12228688109544953856,   6.09056
300000000, 2000000, Block128     ,  378946280, 12228688109544953856,   6.75552
300000000, 2000000, log2Block1.00, 1922926000, 12228688109544953856,   6.15735
300000000, 2000000, log2Block2.00,  918606232, 12228688109544953856,   5.56496
300000000, 2000000, log2Block3.00,  595017824, 12228688109544953856,   5.02983
300000000, 2000000, log2Block4.00,  437874992, 12228688109544953856,   5.31879
300000000, 2000000, log2Block5.00,  343589328, 12228688109544953856,   5.7129
