n,q,name,space,sum,time
1000,2000000,FiCart2,18294,10892167552799475182,2.63121
1000,2000000,FiCart4,8424,10892167552799475182,2.61698
1000,2000000,FiCart8,7584,10892167552799475182,2.56288
1000,2000000,FiCart16,10328,10892167552799475182,2.71902
1000,2000000,FiCart32,17788,10892167552799475182,2.95856
1000,2000000,AdCart0.25,18310,10892167552799475182,3.01412
1000,2000000,AdCart0.50,8440,10892167552799475182,3.05267
1000,2000000,AdCart1.00,8273,10892167552799475182,3.18948
1000,2000000,AdCart1.50,9648,10892167552799475182,3.22688
1000,2000000,AdCart2.00,11566,10892167552799475182,3.26506
3000,2000000,FiCart2,64206,8632178948547995771,3.17175
3000,2000000,FiCart4,29408,8632178948547995771,2.45631
3000,2000000,FiCart8,23332,8632178948547995771,2.53373
3000,2000000,FiCart16,31620,8632178948547995771,2.55004
3000,2000000,FiCart32,52408,8632178948547995771,2.65183
3000,2000000,AdCart0.25,64222,8632178948547995771,3.01433
3000,2000000,AdCart0.50,23314,8632178948547995771,2.99658
3000,2000000,AdCart1.00,27176,8632178948547995771,3.0601
3000,2000000,AdCart1.50,32753,8632178948547995771,3.0829
3000,2000000,AdCart2.00,40172,8632178948547995771,3.13088
10000,2000000,FiCart2,247686,18139293169882304200,3.1856
10000,2000000,FiCart4,114176,18139293169882304200,2.73296
10000,2000000,FiCart8,74232,18139293169882304200,2.70654
10000,2000000,FiCart16,108768,18139293169882304200,3.02317
10000,2000000,FiCart32,176072,18139293169882304200,2.88304
10000,2000000,AdCart0.25,157450,18139293169882304200,3.25577
10000,2000000,AdCart0.50,74962,18139293169882304200,3.22748
10000,2000000,AdCart1.00,99688,18139293169882304200,3.45129
10000,2000000,AdCart1.50,119602,18139293169882304200,3.3216
10000,2000000,AdCart2.00,148839,18139293169882304200,3.32683
30000,2000000,FiCart2,834946,2793565431328275568,3.8494
30000,2000000,FiCart4,387820,2793565431328275568,3.25469
30000,2000000,FiCart8,213812,2793565431328275568,3.24217
30000,2000000,FiCart16,337200,2793565431328275568,3.51994
30000,2000000,FiCart32,532804,2793565431328275568,3.32583
30000,2000000,AdCart0.25,534986,2793565431328275568,3.67946
30000,2000000,AdCart0.50,218828,2793565431328275568,3.45796
30000,2000000,AdCart1.00,319873,2793565431328275568,3.88117
30000,2000000,AdCart1.50,402780,2793565431328275568,3.69056
30000,2000000,AdCart2.00,492121,2793565431328275568,3.67013
100000,2000000,FiCart2,3138394,15042866268451199225,4.3316
100000,2000000,FiCart4,1469572,15042866268451199225,3.94021
100000,2000000,FiCart8,729832,15042866268451199225,4.10556
100000,2000000,FiCart16,1166592,15042866268451199225,4.2415
100000,2000000,FiCart32,1796536,15042866268451199225,3.76656
100000,2000000,AdCart0.25,1469588,15042866268451199225,4.08302
100000,2000000,AdCart0.50,729848,15042866268451199225,4.29823
100000,2000000,AdCart1.00,1166608,15042866268451199225,4.43377
100000,2000000,AdCart1.50,1451148,15042866268451199225,4.13302
100000,2000000,AdCart2.00,1796552,15042866268451199225,4.0181
300000,2000000,FiCart2,10352018,9826613343769808853,5.42608
300000,2000000,FiCart4,4876412,9826613343769808853,4.37635
300000,2000000,FiCart8,2337276,9826613343769808853,4.59042
300000,2000000,FiCart16,3608960,9826613343769808853,5.19337
300000,2000000,FiCart32,5447440,9826613343769808853,5.40029
300000,2000000,AdCart0.25,4876428,9826613343769808853,4.65367
300000,2000000,AdCart0.50,2175621,9826613343769808853,5.1354
300000,2000000,AdCart1.00,3784996,9826613343769808853,5.44869
300000,2000000,AdCart1.50,4802012,9826613343769808853,5.32179
300000,2000000,AdCart2.00,5447456,9826613343769808853,5.67348
1000000,2000000,FiCart2,37903470,10638594087832823758,13.2963
1000000,2000000,FiCart4,17952152,10638594087832823758,7.81223
1000000,2000000,FiCart8,8527464,10638594087832823758,6.17652
1000000,2000000,FiCart16,12396044,10638594087832823758,12.3921
1000000,2000000,FiCart32,18369432,10638594087832823758,14.6653
1000000,2000000,AdCart0.25,17952168,10638594087832823758,8.02273
1000000,2000000,AdCart0.50,7677142,10638594087832823758,6.6395
1000000,2000000,AdCart1.00,13314040,10638594087832823758,13.3741
1000000,2000000,AdCart1.50,17083353,10638594087832823758,14.5169
1000000,2000000,AdCart2.00,18369448,10638594087832823758,14.812
3000000,2000000,FiCart2,123612070,9753184260665447441,25.9221
3000000,2000000,FiCart4,58806480,9753184260665447441,20.0682
3000000,2000000,FiCart8,27954944,9753184260665447441,17.7516
3000000,2000000,FiCart16,37900972,9753184260665447441,29.2473
3000000,2000000,FiCart32,55726272,9753184260665447441,27.5766
3000000,2000000,AdCart0.25,46206986,9753184260665447441,19.8496
3000000,2000000,AdCart0.50,22692180,9753184260665447441,18.3646
3000000,2000000,AdCart1.00,42807124,9753184260665447441,29.6699
3000000,2000000,AdCart1.50,55726288,9753184260665447441,27.8274
3000000,2000000,AdCart2.00,55726288,9753184260665447441,27.163
