n,q,name,space,sum,time
1000,2000000,NaiFly,8,10892167552799475182,47.4028
1000,2000000,NaiPre,2002040,10892167552799475182,0.870375
1000,2000000,SpTa,35980,10892167552799475182,1.15627
1000,2000000,SeTr,8008,10892167552799475182,70.9855
1000,2000000,FiBl64,368,10892167552799475182,24.2664
1000,2000000,AdBlPre200.00,8116,10892167552799475182,47.236
1000,2000000,FiCart8,7584,10892167552799475182,2.48767
3000,2000000,NaiFly,8,8632178948547995771,150.587
3000,2000000,NaiPre,18006040,8632178948547995771,3.71929
3000,2000000,SpTa,127700,8632178948547995771,1.24879
3000,2000000,SeTr,24004,8632178948547995771,84.5473
3000,2000000,FiBl64,1076,8632178948547995771,24.2009
3000,2000000,AdBlPre200.00,24148,8632178948547995771,71.0493
3000,2000000,FiCart8,23332,8632178948547995771,2.41283
10000,2000000,NaiFly,8,18139293169882304200,510.784
10000,2000000,NaiPre,200020040,18139293169882304200,5.89102
10000,2000000,SpTa,494556,18139293169882304200,1.46954
10000,2000000,SeTr,80012,18139293169882304200,101.411
10000,2000000,FiBl64,4260,18139293169882304200,24.2268
10000,2000000,AdBlPre200.00,80192,18139293169882304200,36.5947
10000,2000000,FiCart8,74232,18139293169882304200,2.63715
30000,2000000,SpTa,1669024,2793565431328275568,1.91602
30000,2000000,SeTr,240004,2793565431328275568,123.725
30000,2000000,FiBl64,15124,2793565431328275568,24.3292
30000,2000000,AdBlPre200.00,240316,2793565431328275568,18.2494
30000,2000000,FiCart8,213812,2793565431328275568,3.2551
100000,2000000,SpTa,6275816,15042866268451199225,2.16877
100000,2000000,SeTr,800008,15042866268451199225,144.628
100000,2000000,FiBl64,60924,15042866268451199225,24.4091
100000,2000000,AdBlPre200.00,800724,15042866268451199225,8.27881
100000,2000000,FiCart8,729832,15042866268451199225,4.05833
300000,2000000,SpTa,20702960,9826613343769808853,3.50888
300000,2000000,SeTr,2400000,9826613343769808853,165.241
300000,2000000,FiBl64,211408,9826613343769808853,24.375
300000,2000000,AdBlPre200.00,2402100,9826613343769808853,4.65854
300000,2000000,FiCart8,2337276,9826613343769808853,4.5076
1000000,2000000,SpTa,75805812,10638594087832823758,7.26165
1000000,2000000,SeTr,8000004,10638594087832823758,193.642
1000000,2000000,FiBl64,809892,10638594087832823758,24.5264
1000000,2000000,AdBlPre200.00,8007324,10638594087832823758,4.94531
1000000,2000000,FiCart8,8527464,10638594087832823758,6.09848
3000000,2000000,SpTa,247222908,9753184260665447441,10.1345
3000000,2000000,SeTr,23999992,9753184260665447441,293.219
3000000,2000000,FiBl64,2738340,9753184260665447441,40.2976
3000000,2000000,AdBlPre200.00,24024196,9753184260665447441,10.6378
3000000,2000000,FiCart8,27954944,9753184260665447441,17.7111
