n,q,name,space,sum,time
1000,2000000,FiBl16,1460,10892167552799475182,18.9407
1000,2000000,FiBl32,716,10892167552799475182,21.9074
1000,2000000,FiBl64,368,10892167552799475182,24.4697
1000,2000000,FiBl128,212,10892167552799475182,28.6511
1000,2000000,AdBl1.00,2864,10892167552799475182,16.6997
1000,2000000,AdBl2.00,1228,10892167552799475182,22.8358
1000,2000000,AdBl2.25,1060,10892167552799475182,23.8186
1000,2000000,AdBl2.50,964,10892167552799475182,24.5309
1000,2000000,AdBl2.75,868,10892167552799475182,24.4686
1000,2000000,AdBl3.00,796,10892167552799475182,25.062
1000,2000000,AdBl4.00,576,10892167552799475182,26.0413
1000,2000000,AdBl5.00,476,10892167552799475182,26.3827
3000,2000000,FiBl16,5252,8632178948547995771,19.1279
3000,2000000,FiBl32,2352,8632178948547995771,21.8339
3000,2000000,FiBl64,1076,8632178948547995771,24.4113
3000,2000000,FiBl128,528,8632178948547995771,28.9733
3000,2000000,AdBl1.00,8076,8632178948547995771,19.072
3000,2000000,AdBl2.00,3436,8632178948547995771,23.884
3000,2000000,AdBl2.25,3088,8632178948547995771,24.0971
3000,2000000,AdBl2.50,2752,8632178948547995771,25.1045
3000,2000000,AdBl2.75,2444,8632178948547995771,25.1343
3000,2000000,AdBl3.00,2220,8632178948547995771,25.4827
3000,2000000,AdBl4.00,1576,8632178948547995771,26.615
3000,2000000,AdBl5.00,1228,8632178948547995771,26.8922
10000,2000000,FiBl16,21220,18139293169882304200,18.8758
10000,2000000,FiBl32,9508,18139293169882304200,21.8533
10000,2000000,FiBl64,4260,18139293169882304200,24.4202
10000,2000000,FiBl128,1932,18139293169882304200,29.1736
10000,2000000,AdBl1.00,27028,18139293169882304200,21.005
10000,2000000,AdBl2.00,12108,18139293169882304200,24.1515
10000,2000000,AdBl2.25,10668,18139293169882304200,24.8809
10000,2000000,AdBl2.50,9192,18139293169882304200,25.7762
10000,2000000,AdBl2.75,8256,18139293169882304200,25.5325
10000,2000000,AdBl3.00,7500,18139293169882304200,26.1461
10000,2000000,AdBl4.00,5292,18139293169882304200,26.8815
10000,2000000,AdBl5.00,4108,18139293169882304200,27.4049
30000,2000000,FiBl16,74652,2793565431328275568,18.915
30000,2000000,FiBl32,33740,2793565431328275568,21.8746
30000,2000000,FiBl64,15124,2793565431328275568,24.4572
30000,2000000,FiBl128,6756,2793565431328275568,29.6032
30000,2000000,AdBl1.00,86860,2793565431328275568,21.6071
30000,2000000,AdBl2.00,37700,2793565431328275568,24.8106
30000,2000000,AdBl2.25,32628,2793565431328275568,25.2772
30000,2000000,AdBl2.50,28668,2793565431328275568,26.3462
30000,2000000,AdBl2.75,26228,2793565431328275568,25.9014
30000,2000000,AdBl3.00,23508,2793565431328275568,26.4423
30000,2000000,AdBl4.00,16572,2793565431328275568,27.227
30000,2000000,AdBl5.00,12864,2793565431328275568,27.8851
100000,2000000,FiBl16,292632,15042866268451199225,18.8987
100000,2000000,FiBl32,133988,15042866268451199225,21.9018
100000,2000000,FiBl64,60924,15042866268451199225,24.4784
100000,2000000,FiBl128,27500,15042866268451199225,30.0338
100000,2000000,AdBl1.00,292640,15042866268451199225,22.0506
100000,2000000,AdBl2.00,129484,15042866268451199225,25.2507
100000,2000000,AdBl2.25,113740,15042866268451199225,25.9198
100000,2000000,AdBl2.50,101116,15042866268451199225,26.6401
100000,2000000,AdBl2.75,90700,15042866268451199225,26.4937
100000,2000000,AdBl3.00,81964,15042866268451199225,26.8824
100000,2000000,AdBl4.00,58864,15042866268451199225,27.7465
100000,2000000,AdBl5.00,45180,15042866268451199225,28.6123
300000,2000000,FiBl16,994384,9826613343769808853,18.9442
300000,2000000,FiBl32,459892,9826613343769808853,21.9141
300000,2000000,FiBl64,211408,9826613343769808853,24.5196
300000,2000000,FiBl128,96500,9826613343769808853,30.2657
300000,2000000,AdBl1.00,869412,9826613343769808853,22.7297
300000,2000000,AdBl2.00,401604,9826613343769808853,25.7643
300000,2000000,AdBl2.25,357640,9826613343769808853,26.2065
300000,2000000,AdBl2.50,314324,9826613343769808853,27.1971
300000,2000000,AdBl2.75,279640,9826613343769808853,26.7982
300000,2000000,AdBl3.00,256552,9826613343769808853,27.3478
300000,2000000,AdBl4.00,184324,9826613343769808853,28.1678
300000,2000000,AdBl5.00,144028,9826613343769808853,29.0076
1000000,2000000,FiBl16,3738340,10638594087832823758,19.2828
1000000,2000000,FiBl32,1744384,10638594087832823758,22.0383
1000000,2000000,FiBl64,809892,10638594087832823758,24.6302
1000000,2000000,FiBl128,373908,10638594087832823758,30.767
1000000,2000000,AdBl1.00,3106796,10638594087832823758,23.293
1000000,2000000,AdBl2.00,1407912,10638594087832823758,26.3215
1000000,2000000,AdBl2.25,1233072,10638594087832823758,26.6668
1000000,2000000,AdBl2.50,1093932,10638594087832823758,27.398
1000000,2000000,AdBl2.75,980532,10638594087832823758,27.2435
1000000,2000000,AdBl3.00,886392,10638594087832823758,27.6568
1000000,2000000,AdBl4.00,643804,10638594087832823758,28.9021
1000000,2000000,AdBl5.00,500612,10638594087832823758,29.9483
3000000,2000000,FiBl16,12451964,9753184260665447441,27.8717
3000000,2000000,FiBl32,5851224,9753184260665447441,32.0979
3000000,2000000,FiBl64,2738340,9753184260665447441,41.4231
3000000,2000000,FiBl128,1275664,9753184260665447441,63.2568
3000000,2000000,AdBl1.00,9237748,9753184260665447441,30.2905
3000000,2000000,AdBl2.00,4220456,9753184260665447441,37.5232
3000000,2000000,AdBl2.25,3738348,9753184260665447441,38.1623
3000000,2000000,AdBl2.50,3361004,9753184260665447441,40.7014
3000000,2000000,AdBl2.75,2992620,9753184260665447441,42.3334
3000000,2000000,AdBl3.00,2738348,9753184260665447441,43.0595
3000000,2000000,AdBl4.00,1970924,9753184260665447441,50.7545
3000000,2000000,AdBl5.00,1551672,9753184260665447441,58.2695
