n,q,name,space,sum,time
1000,2000000,AdBlPre1.00,10912,10892167552799475182,2.1139
1000,2000000,AdBlPre2.00,9276,10892167552799475182,2.52596
1000,2000000,AdBlPre3.00,8844,10892167552799475182,2.69294
1000,2000000,AdBlPre4.00,8624,10892167552799475182,2.98608
1000,2000000,AdBlPre5.00,8524,10892167552799475182,3.3709
1000,2000000,AdBlPre6.00,8444,10892167552799475182,3.65048
1000,2000000,AdBlPre7.00,8380,10892167552799475182,3.99333
1000,2000000,AdBlPre8.00,8348,10892167552799475182,4.32931
1000,2000000,AdBlPre9.00,8332,10892167552799475182,4.56735
1000,2000000,AdBlPre10.00,8316,10892167552799475182,4.9704
1000,2000000,AdBlPre15.00,8228,10892167552799475182,6.54444
1000,2000000,AdBlPre20.00,8216,10892167552799475182,8.40813
1000,2000000,AdBlPre30.00,8192,10892167552799475182,10.5624
1000,2000000,AdBlPre40.00,8156,10892167552799475182,12.1696
1000,2000000,AdBlPre50.00,8156,10892167552799475182,16.5847
1000,2000000,AdBlPre75.00,8148,10892167552799475182,24.1997
1000,2000000,AdBlPre100.00,8148,10892167552799475182,46.8387
1000,2000000,AdBlPre125.00,8116,10892167552799475182,47.3192
1000,2000000,AdBlPre150.00,8116,10892167552799475182,47.3579
1000,2000000,AdBlPre175.00,8116,10892167552799475182,47.3404
1000,2000000,AdBlPre200.00,8116,10892167552799475182,47.2909
3000,2000000,AdBlPre1.00,32124,8632178948547995771,2.35004
3000,2000000,AdBlPre2.00,27484,8632178948547995771,2.14971
3000,2000000,AdBlPre3.00,26268,8632178948547995771,2.24819
3000,2000000,AdBlPre4.00,25624,8632178948547995771,2.33021
3000,2000000,AdBlPre5.00,25276,8632178948547995771,2.44963
3000,2000000,AdBlPre6.00,25060,8632178948547995771,2.59777
3000,2000000,AdBlPre7.00,24916,8632178948547995771,2.69362
3000,2000000,AdBlPre8.00,24796,8632178948547995771,2.82121
3000,2000000,AdBlPre9.00,24704,8632178948547995771,3.00375
3000,2000000,AdBlPre10.00,24644,8632178948547995771,3.09142
3000,2000000,AdBlPre15.00,24464,8632178948547995771,3.84067
3000,2000000,AdBlPre20.00,24348,8632178948547995771,4.57144
3000,2000000,AdBlPre30.00,24284,8632178948547995771,6.07125
3000,2000000,AdBlPre40.00,24228,8632178948547995771,7.88633
3000,2000000,AdBlPre50.00,24216,8632178948547995771,10.2205
3000,2000000,AdBlPre75.00,24192,8632178948547995771,16.0175
3000,2000000,AdBlPre100.00,24156,8632178948547995771,22.3868
3000,2000000,AdBlPre125.00,24156,8632178948547995771,35.7383
3000,2000000,AdBlPre150.00,24148,8632178948547995771,42.2631
3000,2000000,AdBlPre175.00,24148,8632178948547995771,52.9093
3000,2000000,AdBlPre200.00,24148,8632178948547995771,71.3698
10000,2000000,AdBlPre1.00,107076,18139293169882304200,2.16996
10000,2000000,AdBlPre2.00,92156,18139293169882304200,2.16748
10000,2000000,AdBlPre3.00,87548,18139293169882304200,2.116
10000,2000000,AdBlPre4.00,85340,18139293169882304200,2.09829
10000,2000000,AdBlPre5.00,84156,18139293169882304200,2.13096
10000,2000000,AdBlPre6.00,83332,18139293169882304200,2.22071
10000,2000000,AdBlPre7.00,82800,18139293169882304200,2.21525
10000,2000000,AdBlPre8.00,82436,18139293169882304200,2.24408
10000,2000000,AdBlPre9.00,82156,18139293169882304200,2.33515
10000,2000000,AdBlPre10.00,81904,18139293169882304200,2.31967
10000,2000000,AdBlPre15.00,81228,18139293169882304200,2.57725
10000,2000000,AdBlPre20.00,80916,18139293169882304200,2.87
10000,2000000,AdBlPre30.00,80624,18139293169882304200,3.58719
10000,2000000,AdBlPre40.00,80484,18139293169882304200,4.343
10000,2000000,AdBlPre50.00,80424,18139293169882304200,5.29615
10000,2000000,AdBlPre75.00,80316,18139293169882304200,8.36575
10000,2000000,AdBlPre100.00,80268,18139293169882304200,12.1055
10000,2000000,AdBlPre125.00,80228,18139293169882304200,17.7498
10000,2000000,AdBlPre150.00,80216,18139293169882304200,24.0537
10000,2000000,AdBlPre175.00,80204,18139293169882304200,29.7888
10000,2000000,AdBlPre200.00,80192,18139293169882304200,36.745
30000,2000000,AdBlPre1.00,326908,2793565431328275568,2.80835
30000,2000000,AdBlPre2.00,277748,2793565431328275568,2.60637
30000,2000000,AdBlPre3.00,263556,2793565431328275568,2.44046
30000,2000000,AdBlPre4.00,256620,2793565431328275568,2.38738
30000,2000000,AdBlPre5.00,252912,2793565431328275568,2.32002
30000,2000000,AdBlPre6.00,250464,2793565431328275568,2.30692
30000,2000000,AdBlPre7.00,248700,2793565431328275568,2.31435
30000,2000000,AdBlPre8.00,247452,2793565431328275568,2.26233
30000,2000000,AdBlPre9.00,246524,2793565431328275568,2.28544
30000,2000000,AdBlPre10.00,245788,2793565431328275568,2.33646
30000,2000000,AdBlPre15.00,243612,2793565431328275568,2.33027
30000,2000000,AdBlPre20.00,242632,2793565431328275568,2.4324
30000,2000000,AdBlPre30.00,241680,2793565431328275568,2.72925
30000,2000000,AdBlPre40.00,241228,2793565431328275568,3.00685
30000,2000000,AdBlPre50.00,240988,2793565431328275568,3.48925
30000,2000000,AdBlPre75.00,240644,2793565431328275568,4.83492
30000,2000000,AdBlPre100.00,240524,2793565431328275568,6.63379
30000,2000000,AdBlPre125.00,240444,2793565431328275568,8.87817
30000,2000000,AdBlPre150.00,240364,2793565431328275568,11.4069
30000,2000000,AdBlPre175.00,240332,2793565431328275568,14.4097
30000,2000000,AdBlPre200.00,240316,2793565431328275568,18.3542
100000,2000000,AdBlPre1.00,1092688,15042866268451199225,3.54777
100000,2000000,AdBlPre2.00,929532,15042866268451199225,3.11656
100000,2000000,AdBlPre3.00,882012,15042866268451199225,2.90044
100000,2000000,AdBlPre4.00,858912,15042866268451199225,2.80917
100000,2000000,AdBlPre5.00,845228,15042866268451199225,2.71317
100000,2000000,AdBlPre6.00,836716,15042866268451199225,2.7204
100000,2000000,AdBlPre7.00,830796,15042866268451199225,2.68908
100000,2000000,AdBlPre8.00,826596,15042866268451199225,2.61079
100000,2000000,AdBlPre9.00,823156,15042866268451199225,2.60479
100000,2000000,AdBlPre10.00,820396,15042866268451199225,2.56167
100000,2000000,AdBlPre15.00,812768,15042866268451199225,2.48296
100000,2000000,AdBlPre20.00,809168,15042866268451199225,2.44335
100000,2000000,AdBlPre30.00,805724,15042866268451199225,2.47415
100000,2000000,AdBlPre40.00,804124,15042866268451199225,2.58504
100000,2000000,AdBlPre50.00,803164,15042866268451199225,2.687
100000,2000000,AdBlPre75.00,802044,15042866268451199225,3.2395
100000,2000000,AdBlPre100.00,801468,15042866268451199225,3.92206
100000,2000000,AdBlPre125.00,801180,15042866268451199225,4.75423
