n,q,name,space,sum,time
1000,2000000,FiBlPre2,24288,10892167552799475182,1.66654
1000,2000000,FiBlPre4,15284,10892167552799475182,1.76581
1000,2000000,FiBlPre8,11268,10892167552799475182,1.86052
1000,2000000,FiBlPre16,9508,10892167552799475182,2.00415
1000,2000000,FiBlPre32,8764,10892167552799475182,2.36744
1000,2000000,FiBlPre64,8416,10892167552799475182,3.18104
1000,2000000,FiBlPre128,8260,10892167552799475182,4.92321
1000,2000000,FiBlPre256,8184,10892167552799475182,8.44971
1000,2000000,FiBlPre512,8140,10892167552799475182,15.5067
1000,2000000,FiBlPre1024,8108,10892167552799475182,47.3507
1000,2000000,FiBlPre2048,8108,10892167552799475182,47.3566
1000,2000000,FiBlPre4096,8108,10892167552799475182,47.3459
1000,2000000,FiBlPre8192,8108,10892167552799475182,47.3451
1000,2000000,FiBlPre16384,8108,10892167552799475182,47.3338
1000,2000000,FiBlPre32768,8108,10892167552799475182,47.8066
1000,2000000,FiBlPre65536,8108,10892167552799475182,47.321
3000,2000000,FiBlPre2,82200,8632178948547995771,1.72473
3000,2000000,FiBlPre4,50268,8632178948547995771,1.71192
3000,2000000,FiBlPre8,35788,8632178948547995771,1.71981
3000,2000000,FiBlPre16,29300,8632178948547995771,1.77675
3000,2000000,FiBlPre32,26400,8632178948547995771,1.85675
3000,2000000,FiBlPre64,25124,8632178948547995771,2.19081
3000,2000000,FiBlPre128,24576,8632178948547995771,2.73233
3000,2000000,FiBlPre256,24324,8632178948547995771,4.18327
3000,2000000,FiBlPre512,24208,8632178948547995771,7.83946
3000,2000000,FiBlPre1024,24148,8632178948547995771,19.1302
3000,2000000,FiBlPre2048,24140,8632178948547995771,53.041
3000,2000000,FiBlPre4096,24108,8632178948547995771,148.858
3000,2000000,FiBlPre8192,24108,8632178948547995771,149.303
3000,2000000,FiBlPre16384,24108,8632178948547995771,148.661
3000,2000000,FiBlPre32768,24108,8632178948547995771,149.904
3000,2000000,FiBlPre65536,24108,8632178948547995771,148.635
10000,2000000,FiBlPre2,307680,18139293169882304200,2.37008
10000,2000000,FiBlPre4,184036,18139293169882304200,2.36323
10000,2000000,FiBlPre8,127200,18139293169882304200,2.07502
10000,2000000,FiBlPre16,101268,18139293169882304200,1.94962
10000,2000000,FiBlPre32,89556,18139293169882304200,1.87413
10000,2000000,FiBlPre64,84308,18139293169882304200,1.9114
10000,2000000,FiBlPre128,81980,18139293169882304200,2.03608
10000,2000000,FiBlPre256,80956,18139293169882304200,2.43415
10000,2000000,FiBlPre512,80496,18139293169882304200,3.70737
10000,2000000,FiBlPre1024,80292,18139293169882304200,7.76927
10000,2000000,FiBlPre2048,80196,18139293169882304200,23.235
10000,2000000,FiBlPre4096,80148,18139293169882304200,73.5035
10000,2000000,FiBlPre8192,80140,18139293169882304200,282.504
