n,q,name,space,sum,time
1000,2000000,SqBlPre1.50,8544,10892167552799475182,3.51721
1000,2000000,SqBlPre2.00,8424,10892167552799475182,3.83177
1000,2000000,SqBlPre2.50,8348,10892167552799475182,4.30848
1000,2000000,SqBlPre3.00,8316,10892167552799475182,4.7771
1000,2000000,FiBlPre8192,8108,10892167552799475182,47.4949
1000,2000000,FiBlPre16384,8108,10892167552799475182,47.3598
1000,2000000,FiBlPre32768,8108,10892167552799475182,47.3351
1000,2000000,AdBlPre150.00,8116,10892167552799475182,47.3554
1000,2000000,AdBlPre175.00,8116,10892167552799475182,47.3786
1000,2000000,AdBlPre200.00,8116,10892167552799475182,47.3267
3000,2000000,SqBlPre1.50,24892,8632178948547995771,2.94483
3000,2000000,SqBlPre2.00,24664,8632178948547995771,3.12731
3000,2000000,SqBlPre2.50,24564,8632178948547995771,3.30758
3000,2000000,SqBlPre3.00,24484,8632178948547995771,3.69833
3000,2000000,FiBlPre8192,24108,8632178948547995771,149.089
3000,2000000,FiBlPre16384,24108,8632178948547995771,149.546
3000,2000000,FiBlPre32768,24108,8632178948547995771,149.181
3000,2000000,AdBlPre150.00,24148,8632178948547995771,42.2079
3000,2000000,AdBlPre175.00,24148,8632178948547995771,52.8754
3000,2000000,AdBlPre200.00,24148,8632178948547995771,71.3543
10000,2000000,SqBlPre1.50,81652,18139293169882304200,2.47831
10000,2000000,SqBlPre2.00,81204,18139293169882304200,2.67765
10000,2000000,SqBlPre2.50,80964,18139293169882304200,2.78108
10000,2000000,SqBlPre3.00,80820,18139293169882304200,3.10075
10000,2000000,FiBlPre8192,80140,18139293169882304200,282.837
10000,2000000,FiBlPre16384,80108,18139293169882304200,510.096
10000,2000000,FiBlPre32768,80108,18139293169882304200,510.143
10000,2000000,AdBlPre150.00,80216,18139293169882304200,24.0142
10000,2000000,AdBlPre175.00,80204,18139293169882304200,29.7386
10000,2000000,AdBlPre200.00,80192,18139293169882304200,36.716
30000,2000000,SqBlPre1.50,243024,2793565431328275568,2.36006
30000,2000000,SqBlPre2.00,242212,2793565431328275568,2.56913
30000,2000000,SqBlPre2.50,241736,2793565431328275568,2.62473
30000,2000000,SqBlPre3.00,241396,2793565431328275568,2.83012
30000,2000000,FiBlPre8192,240184,2793565431328275568,106.383
30000,2000000,FiBlPre16384,240140,2793565431328275568,399.161
30000,2000000,FiBlPre32768,240108,2793565431328275568,1555.08
30000,2000000,AdBlPre150.00,240364,2793565431328275568,11.382
30000,2000000,AdBlPre175.00,240332,2793565431328275568,14.3862
30000,2000000,AdBlPre200.00,240316,2793565431328275568,18.3243
100000,2000000,SqBlPre1.50,806044,15042866268451199225,2.46998
100000,2000000,SqBlPre2.00,804380,15042866268451199225,2.60842
100000,2000000,SqBlPre2.50,803332,15042866268451199225,2.62823
100000,2000000,SqBlPre3.00,802744,15042866268451199225,2.80244
100000,2000000,FiBlPre8192,800340,15042866268451199225,36.8245
100000,2000000,FiBlPre16384,800220,15042866268451199225,139.254
100000,2000000,FiBlPre32768,800184,15042866268451199225,549.468
100000,2000000,AdBlPre150.00,800988,15042866268451199225,5.7056
100000,2000000,AdBlPre175.00,800844,15042866268451199225,6.91885
100000,2000000,AdBlPre200.00,800724,15042866268451199225,8.34915
300000,2000000,SqBlPre1.50,2411472,9826613343769808853,2.88402
300000,2000000,SqBlPre2.00,2408160,9826613343769808853,2.70806
300000,2000000,SqBlPre2.50,2406332,9826613343769808853,2.78437
300000,2000000,SqBlPre3.00,2405148,9826613343769808853,2.96931
300000,2000000,FiBlPre8192,2400884,9826613343769808853,14.0149
300000,2000000,FiBlPre16384,2400476,9826613343769808853,48.298
300000,2000000,FiBlPre32768,2400292,9826613343769808853,185.173
300000,2000000,AdBlPre150.00,2402856,9826613343769808853,3.73238
300000,2000000,AdBlPre175.00,2402436,9826613343769808853,4.19656
300000,2000000,AdBlPre200.00,2402100,9826613343769808853,4.70904
1000000,2000000,SqBlPre1.50,8022956,10638594087832823758,4.61015
1000000,2000000,SqBlPre2.00,8016296,10638594087832823758,3.88823
1000000,2000000,SqBlPre2.50,8012696,10638594087832823758,4.01813
1000000,2000000,SqBlPre3.00,8010320,10638594087832823758,4.20137
1000000,2000000,FiBlPre8192,8003212,10638594087832823758,7.87325
1000000,2000000,FiBlPre16384,8001484,10638594087832823758,18.7142
1000000,2000000,FiBlPre32768,8000716,10638594087832823758,59.5402
1000000,2000000,AdBlPre150.00,8010356,10638594087832823758,4.08585
1000000,2000000,AdBlPre175.00,8008628,10638594087832823758,4.08796
1000000,2000000,AdBlPre200.00,8007324,10638594087832823758,4.52323
3000000,2000000,SqBlPre1.50,24043028,9753184260665447441,11.2746
3000000,2000000,SqBlPre2.00,24030956,9753184260665447441,10.7705
3000000,2000000,SqBlPre2.50,24023996,9753184260665447441,10.9347
3000000,2000000,SqBlPre3.00,24019396,9753184260665447441,11.4553
3000000,2000000,FiBlPre8192,24011500,9753184260665447441,12.5424
3000000,2000000,FiBlPre16384,24005172,9753184260665447441,18.04
3000000,2000000,FiBlPre32768,24002344,9753184260665447441,36.085
3000000,2000000,AdBlPre150.00,24033476,9753184260665447441,10.3269
3000000,2000000,AdBlPre175.00,24028156,9753184260665447441,10.4155
3000000,2000000,AdBlPre200.00,24024196,9753184260665447441,10.6854
