n,q,name,space,sum,time
1000,2000000,SqBlPre0.25,11868,10892167552799475182,2.37106
1000,2000000,SqBlPre0.50,9652,10892167552799475182,2.40335
1000,2000000,SqBlPre0.75,9060,10892167552799475182,2.49119
1000,2000000,SqBlPre1.00,8796,10892167552799475182,2.74296
1000,2000000,SqBlPre1.50,8544,10892167552799475182,3.26902
1000,2000000,SqBlPre2.00,8424,10892167552799475182,3.83475
1000,2000000,SqBlPre2.50,8348,10892167552799475182,4.29165
1000,2000000,SqBlPre3.00,8316,10892167552799475182,4.71458
1000,2000000,SqBlPre3.50,8300,10892167552799475182,5.28996
1000,2000000,SqBlPre4.00,8268,10892167552799475182,5.79048
1000,2000000,SqBlPre4.50,8268,10892167552799475182,6.31144
1000,2000000,SqBlPre5.00,8228,10892167552799475182,6.80373
3000,2000000,SqBlPre0.25,30684,8632178948547995771,2.35215
3000,2000000,SqBlPre0.50,26912,8632178948547995771,2.16092
3000,2000000,SqBlPre0.75,25848,8632178948547995771,2.28229
3000,2000000,SqBlPre1.00,25348,8632178948547995771,2.40171
3000,2000000,SqBlPre1.50,24892,8632178948547995771,2.73787
3000,2000000,SqBlPre2.00,24664,8632178948547995771,3.0106
3000,2000000,SqBlPre2.50,24564,8632178948547995771,3.39198
3000,2000000,SqBlPre3.00,24484,8632178948547995771,3.63183
3000,2000000,SqBlPre3.50,24424,8632178948547995771,3.9974
3000,2000000,SqBlPre4.00,24364,8632178948547995771,4.36085
3000,2000000,SqBlPre4.50,24348,8632178948547995771,4.65092
3000,2000000,SqBlPre5.00,24316,8632178948547995771,5.10987
10000,2000000,SqBlPre0.25,92696,18139293169882304200,2.58335
10000,2000000,SqBlPre0.50,85692,18139293169882304200,2.10633
10000,2000000,SqBlPre0.75,83580,18139293169882304200,2.17013
10000,2000000,SqBlPre1.00,82576,18139293169882304200,2.23165
10000,2000000,SqBlPre1.50,81652,18139293169882304200,2.42085
10000,2000000,SqBlPre2.00,81204,18139293169882304200,2.56379
10000,2000000,SqBlPre2.50,80964,18139293169882304200,2.85567
10000,2000000,SqBlPre3.00,80820,18139293169882304200,3.00219
10000,2000000,SqBlPre3.50,80684,18139293169882304200,3.29667
10000,2000000,SqBlPre4.00,80604,18139293169882304200,3.49306
10000,2000000,SqBlPre4.50,80564,18139293169882304200,3.8594
10000,2000000,SqBlPre5.00,80504,18139293169882304200,4.08652
30000,2000000,SqBlPre0.25,264196,2793565431328275568,2.58588
30000,2000000,SqBlPre0.50,250860,2793565431328275568,2.29069
30000,2000000,SqBlPre0.75,246748,2793565431328275568,2.28681
30000,2000000,SqBlPre1.00,244860,2793565431328275568,2.33498
30000,2000000,SqBlPre1.50,243024,2793565431328275568,2.35679
30000,2000000,SqBlPre2.00,242212,2793565431328275568,2.55506
30000,2000000,SqBlPre2.50,241736,2793565431328275568,2.61442
30000,2000000,SqBlPre3.00,241396,2793565431328275568,2.81594
30000,2000000,SqBlPre3.50,241204,2793565431328275568,3.12062
30000,2000000,SqBlPre4.00,241060,2793565431328275568,3.27085
30000,2000000,SqBlPre4.50,240940,2793565431328275568,3.5796
30000,2000000,SqBlPre5.00,240844,2793565431328275568,3.82925
100000,2000000,SqBlPre0.25,847912,15042866268451199225,2.80521
100000,2000000,SqBlPre0.50,821596,15042866268451199225,2.59371
100000,2000000,SqBlPre0.75,813488,15042866268451199225,2.50079
100000,2000000,SqBlPre1.00,809708,15042866268451199225,2.47765
100000,2000000,SqBlPre1.50,806044,15042866268451199225,2.45681
100000,2000000,SqBlPre2.00,804380,15042866268451199225,2.53929
100000,2000000,SqBlPre2.50,803332,15042866268451199225,2.64965
100000,2000000,SqBlPre3.00,802744,15042866268451199225,2.76635
100000,2000000,SqBlPre3.50,802324,15042866268451199225,3.05015
100000,2000000,SqBlPre4.00,802016,15042866268451199225,3.21056
100000,2000000,SqBlPre4.50,801764,15042866268451199225,3.49817
100000,2000000,SqBlPre5.00,801568,15042866268451199225,3.72679
300000,2000000,SqBlPre0.25,2489932,9826613343769808853,3.15533
300000,2000000,SqBlPre0.50,2440564,9826613343769808853,2.85169
300000,2000000,SqBlPre0.75,2425556,9826613343769808853,2.73946
300000,2000000,SqBlPre1.00,2418236,9826613343769808853,2.75077
300000,2000000,SqBlPre1.50,2411472,9826613343769808853,2.66658
300000,2000000,SqBlPre2.00,2408160,9826613343769808853,2.71633
300000,2000000,SqBlPre2.50,2406332,9826613343769808853,2.7751
300000,2000000,SqBlPre3.00,2405148,9826613343769808853,2.9151
300000,2000000,SqBlPre3.50,2404316,9826613343769808853,3.07929
300000,2000000,SqBlPre4.00,2403676,9826613343769808853,3.27817
300000,2000000,SqBlPre4.50,2403192,9826613343769808853,3.49206
300000,2000000,SqBlPre5.00,2402856,9826613343769808853,3.72017
1000000,2000000,SqBlPre0.25,8176044,10638594087832823758,5.16846
1000000,2000000,SqBlPre0.50,8080208,10638594087832823758,3.70329
1000000,2000000,SqBlPre0.75,8050904,10638594087832823758,3.6204
1000000,2000000,SqBlPre1.00,8036276,10638594087832823758,3.63963
1000000,2000000,SqBlPre1.50,8022956,10638594087832823758,3.68465
1000000,2000000,SqBlPre2.00,8016296,10638594087832823758,3.82369
1000000,2000000,SqBlPre2.50,8012696,10638594087832823758,3.98996
1000000,2000000,SqBlPre3.00,8010320,10638594087832823758,4.14723
1000000,2000000,SqBlPre3.50,8008592,10638594087832823758,4.39575
1000000,2000000,SqBlPre4.00,8007292,10638594087832823758,4.61717
1000000,2000000,SqBlPre4.50,8006428,10638594087832823758,4.90888
1000000,2000000,SqBlPre5.00,8005692,10638594087832823758,5.20404
3000000,2000000,SqBlPre0.25,24327996,9753184260665447441,12.7164
3000000,2000000,SqBlPre0.50,24150364,9753184260665447441,11.2914
3000000,2000000,SqBlPre0.75,24094924,9753184260665447441,10.6676
3000000,2000000,SqBlPre1.00,24068460,9753184260665447441,10.3726
3000000,2000000,SqBlPre1.50,24043028,9753184260665447441,10.3506
3000000,2000000,SqBlPre2.00,24030956,9753184260665447441,10.2167
3000000,2000000,SqBlPre2.50,24023996,9753184260665447441,10.4178
3000000,2000000,SqBlPre3.00,24019396,9753184260665447441,10.8607
3000000,2000000,SqBlPre3.50,24016116,9753184260665447441,11.3217
3000000,2000000,SqBlPre4.00,24013920,9753184260665447441,11.6314
3000000,2000000,SqBlPre4.50,24012156,9753184260665447441,11.8578
3000000,2000000,SqBlPre5.00,24010788,9753184260665447441,12.266
